Name,Code,Value,Nominal
Австралийский доллар,AUD,"64,8827",1
Азербайджанский манат,AZN,"60,4566",1
Фунт стерлингов Соединенного королевства,GBP,"130,6390",1
Армянских драмов,AMD,"26,0444",100
Белорусский рубль,BYN,"29,6066",1
Болгарский лев,BGN,"55,1603",1
Бразильский реал,BRL,"16,6623",1
Венгерских форинтов,HUF,"26,3070",100
Вьетнамских донгов,VND,"42,3331",10000
Гонконгский доллар,HKD,"13,2495",1
Грузинский лари,GEL,"36,5531",1
Датская крона,DKK,"14,4637",1
Дирхам ОАЭ,AED,"27,9854",1
Доллар США,USD,"102,7763",1
Евро,EUR,"108,5083",1
Египетских фунтов,EGP,"20,2338",10
Индийских рупий,INR,"12,1003",10
Индонезийских рупий,IDR,"64,0351",10000
Казахстанских тенге,KZT,"19,5891",100
Канадский доллар,CAD,"71,8464",1
Катарский риал,QAR,"28,2352",1
Киргизских сомов,KGS,"11,8134",10
Китайский юань,CNY,"14,0761",1
Молдавских леев,MDL,"56,0266",10
Новозеландский доллар,NZD,"59,1632",1
Норвежских крон,NOK,"91,7113",10
Польский злотый,PLN,"25,3013",1
Румынский лей,RON,"21,6841",1
СДР (специальные права заимствования),XDR,"134,7644",1
Сингапурский доллар,SGD,"76,0799",1
Таджикских сомони,TJS,"94,2366",10
Таиландских батов,THB,"30,0164",10
Турецких лир,TRY,"29,4038",10
Новый туркменский манат,TMT,"29,3647",1
Узбекских сумов,UZS,"79,8579",10000
Украинских гривен,UAH,"24,5717",10
Чешских крон,CZK,"43,0531",10
Шведских крон,SEK,"94,0414",10
Швейцарский франк,CHF,"114,9880",1
Сербских динаров,RSD,"92,2836",100
Южноафриканских рэндов,ZAR,"56,8390",10
Вон Республики Корея,KRW,"71,5413",1000
Японских иен,JPY,"66,8507",100
